Java HotSpot(TM) 64-Bit Server VM (25.74-b02) for windows-amd64 JRE (1.8.0_74-b02), built on Jan 29 2016 17:42:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16713404k(8983120k free), swap 31917756k(17314024k free)
CommandLine flags: -XX:InitialHeapSize=2097152 -XX:MaxHeapSize=2097152 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.064: [GC (Allocation Failure) [PSYoungGen: 504K->472K(1024K)] 504K->472K(1536K), 0.0006664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.107: [GC (Allocation Failure) [PSYoungGen: 984K->480K(1024K)] 984K->584K(1536K), 0.0005219 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.109: [GC (Allocation Failure) [PSYoungGen: 992K->512K(1024K)] 1096K->624K(1536K), 0.0004089 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.110: [GC (Allocation Failure) [PSYoungGen: 1024K->480K(1024K)] 1136K->592K(1536K), 0.0005399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.111: [GC (Allocation Failure) [PSYoungGen: 992K->480K(1024K)] 1104K->592K(1536K), 0.0019624 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.114: [GC (Allocation Failure) [PSYoungGen: 992K->496K(1024K)] 1104K->616K(1536K), 0.0007902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.116: [GC (Allocation Failure) --[PSYoungGen: 1008K->1008K(1024K)] 1128K->1516K(1536K), 0.0009297 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.177: [Full GC (Ergonomics) [PSYoungGen: 512K->63K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2695K->2695K(1056768K)], 0.0031486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.181: [Full GC (Ergonomics) [PSYoungGen: 512K->64K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0032856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.184: [Full GC (Ergonomics) [PSYoungGen: 512K->63K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0029248 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.187: [Full GC (Ergonomics) [PSYoungGen: 512K->63K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0028986 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
0.190: [Full GC (Ergonomics) [PSYoungGen: 512K->64K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0032358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.194: [Full GC (Ergonomics) [PSYoungGen: 512K->64K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0030705 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.197: [Full GC (Ergonomics) [PSYoungGen: 512K->64K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0030870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.200: [Full GC (Ergonomics) [PSYoungGen: 512K->64K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0028235 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.203: [Full GC (Ergonomics) [PSYoungGen: 512K->64K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0031216 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
0.207: [Full GC (Ergonomics) [PSYoungGen: 512K->64K(1024K)] [ParOldGen: 478K->478K(512K)] 990K->542K(1536K), [Metaspace: 2696K->2696K(1056768K)], 0.0028542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
